INPUT:text_first,INPUT:text_second,OUTPUT:result,CONFIDENCE:result,vote_type,vote_different,vote_some_details_lost,vote_OK,average,NE,POS,sentence_type_lost
What time is the reservation for?,What is the reservation for?,different,0.9999,3,3,0,0,1,corrupted,,
I will arrive next Thursday and depart on the 14th of March.,I will arrive on the 14th of March next Thursday.,different,0.9999,3,3,0,0,1,ok,verb,
I need the car on the 2nd of March till the 3rd of March at 1:30 in the afternoon.,2nd of march till 3rd of march at 1:30 in the afternoon.,different,1,5,5,0,0,1,ok,,imperative
Picking up in Philly on the 10th would be the best date. I will need the rental from next Thursday and let's see if i can pick up around 3:30 pm.,Picking up in Philadelphia on the tenth would be the best date. I will need the rental from next Thursday and let's see if I can pick up around 4:00 pm.,different,0.9999,2,2,0,0,1,corrupted,,
what city should i look in?,What should I look in?,different,0.9999,12,2,1,0,1.333333333,lost,,
I am leaving from LAX to Las Vegas on March 14th.,I am leaving Las Vegas on March 14th.,different,0.9999,12,2,1,0,1.333333333,corrupted,,
I am departing from San Fran Tuesday next week and will be returning on March 12th.,I am departing from San Fran on March 12th.,different,0.9999,3,3,0,0,1,lost,,
"Hello, I need a bus to Sacramento from Fresno on the 5th of March.","Hello, I need a bus to Sacramento on the 5th of March.",some_details_lost,0.9999,12,1,2,0,1.666666667,lost,,
Where is this restaurant located?,Is this restaurant located?,some_details_lost,0.9919,12,1,2,0,1.666666667,ok,prep,
Please make it a Compact car and I prefer to pick it up at seven in the evening.,Make it a compact car and pick it up at 7 in the evening.,different,0.9999,12,2,0,1,1.666666667,ok,,imperative
Move one thousand two hundred and forty dollars.,move one thousand and forty bucks,different,0.9999,12,2,1,0,1.333333333,corrupted,,
"No, from the 9th of this month for two days.","No, from the 9th of this month.",some_details_lost,0.9999,12,1,2,0,1.666666667,lost,,
Are you interested in tickets for that game?,are you interested in that game?,different,0.9905,12,1,2,0,1.666666667,lost,,
Confirming a reservation for 1 at the Doubletree by Hilton hotel London - Victoria in London on March 1st until March 5th.,Confirming a reservation for one at the Doubletree by Hilton Hotel London on March 5th.,some_details_lost,0.9999,12,1,2,0,1.666666667,lost,,imperative
Can you find some other events on March 3rd? I want to find Rock events.,can you find some other stuff on march 3rd? i want to find rock.,different,0.9999,12,2,1,0,1.333333333,ok,,
I will be starting from Ciudad de Mexico on the 8th and will be returning on March 12th.,I will start from Ciudad de Mexico on March 12th.,different,0.9999,3,3,0,0,1,lost,,
What about Autry Museum of the American West?,What about the American West?,different,0.9999,13,3,0,1,1.5,lost,,
I am traveling from San Francisco to Chicago day after tomorrow.,I am traveling from San Francisco to Chicago tomorrow.,some_details_lost,0.9999,13,1,3,0,1.75,corrupted,,
"Yes there is, would you like the Southwest Airlines flight with 0 layovers which will depart at 9:15 am and cost you $75?","yes there is, would you like the southwest airlines flight with 0 layovers at 9:15 am",some_details_lost,0.9912,12,1,2,0,1.666666667,lost,verb,
There are 4 possible events. There is an event of Eagles vs cowboys at Lincoln Financial Field.,There are four possible events at Lincoln Financial Field.,different,1,3,3,0,0,1,lost,,
There is a showtime at 7 pm in Landmark's Albany Twin.,7 pm in landmark's albany twin,different,0.9999,12,2,1,0,1.333333333,lost,,
I need to find round trip flights on Delta Airlines from Nairobi on March 9th.,i need to find round trip flights on delta airlines from kentago on march 9th.,different,0.9999,12,1,2,0,1.666666667,corrupted,,
"Can you find me round trip flights from Portland, OR on the 11th of March on Delta Airlines?",Can you find me round trip flights from Portland or on Delta Airlines?,some_details_lost,0.9999,13,1,3,0,1.75,lost,,
"You want to cast the song Now That I found You to the TV, right?",Now that I found you to the tv right?,some_details_lost,0.9999,12,1,2,0,1.666666667,lost,,interrogative
"Just to make sure, you want to book a 1 person reservation with a check out on March 12th.",just make sure you want to book a 1 person reservation on march 12th.,different,0.9999,12,1,2,0,1.666666667,ok,verb,
Can you search flights for me? I am leaving from the LAX.,Can you search for me? I am leaving from the law.,different,1,12,2,1,0,1.333333333,corrupted,,
Is the address 200 Jose Figueres Avenue #490 and what time and name should I use for the event?,What time and address should I use for the event?,different,0.9897,12,2,1,0,1.333333333,lost,,
"I found 4 movies including Breakthrough, JT LeRoy, and Searching for Sugar Man.","Breakthrough, JT LeRoy, and Searching for Sugar Man",some_details_lost,0.9999,13,1,3,0,1.75,lost,,declarative
I am looking for dates for an activity or event.,I am looking for dates for an event or event.,different,0.9999,12,2,1,0,1.333333333,corrupted,,
I'll need 4 tickets for a bus leaving Sacramento at 1 in the afternoon.,i need 4 tickets for a bus leaving california at 1 in the afternoon.,some_details_lost,0.9999,12,1,2,0,1.666666667,corrupted,,
"I'm leaving from Seattle, WA and traveling to San Francisco.","i'm leaving from washington, WA and going to san francisco.",different,0.9999,12,1,2,0,1.666666667,corrupted,,
I want to find a comedy movie. Search for movies now showing in Oakland.,i want to find a comedy movie search for movies now in ohio.,different,0.9993,12,2,1,0,1.333333333,corrupted,,
"I would like to stay with Holiday Inn Paris and checking in on March 9th , check out on 12th of March",I would like to stay with Holiday Inn Paris and check out on March 9th.,different,0.9996,13,3,1,0,1.25,lost,,
"I want to rent it in Seattle, WA on March 7th","i want to rent it in washington, WA on march 7th",different,0.9701,12,2,0,1,1.666666667,corrupted,,
There are four of us leaving Sacramento on the 13th of this month.,there are 4 of us leaving california on the 13th of this month,different,0.9999,12,2,0,1,1.666666667,corrupted,,
"I want to leave on the 4th of March from Seattle, WA.","i want to leave on the 4th of march from washington, WA",some_details_lost,0.9999,12,1,2,0,1.666666667,corrupted,,
I have a table for 2 at Spencer's for Steaks and Chops in san Jose the day after tomorrow at 1:15 pm.,i have a table for 2 at spencer's for steaks and chops in san joe the day after tomorrow.,some_details_lost,0.9998,14,1,4,0,1.8,lost,,
I am looking to rent the car till next Tuesday and I can pick the car at 17:30 in NYC. Is it possible?,i'm looking to rent the car till next monday and i can pick the car at 17:30 in NYC is it possible?,some_details_lost,0.9909,12,1,2,0,1.666666667,corrupted,,
Please confirm the following: 3 tickets to Timbers Vs Rsl.,3 tickets to timbers vs rsl,some_details_lost,0.9839,12,1,2,0,1.666666667,ok,verb,imperative
I'm looking for hotels around Nairobi. I want to check in next Thursday and check out March 11th.,i'm looking for hotels around nato. i want to check in next wednesday and check out march 11th,some_details_lost,0.9999,12,2,1,0,1.333333333,corrupted,,
I'm looking for an imax show this Saturday.,i'm looking for an imax show this friday,different,0.9993,3,3,0,0,1,corrupted,,
I would like to leave tomorrow from Atlanta.,I would like to leave today from Atlanta.,different,0.9939,14,4,1,0,1.2,corrupted,,
I need you to get me a rental ride. I need intermediate type at 3:30 in the afternoon on the 10th of March.,I need you to give me a rental ride. I need intermediate typing on the afternoon of the 10th of March.,some_details_lost,0.9953,12,1,2,0,1.666666667,lost,,
Can you search for a bus for 3 people to go there Monday next week?,Can you search for a bus for three people to go there next week?,some_details_lost,0.951,3,0,3,0,2,lost,,
In Paris on the 1st until Saturday this week.,In Paris on the first Saturday of this week.,different,0.9999,12,2,1,0,1.333333333,ok,prep,
"What do you think of Dumbo, How to Train Your Dragon: The Hidden World or Little?",Dumbo - How to Train Your Dragon: The Hidden World or Little?,different,0.9999,12,1,2,0,1.666666667,ok,,
I'm looking for interesting things to do in Berkeley.,i'm looking for interesting things to do in california,different,0.9999,12,1,2,0,1.666666667,corrupted,,
To confirm then you want the compact car from March 2nd at 4:30 pm until March 3rd and will collect it from Salesforce Transit Center.,"to confirm, you want the cd from march 2nd at 4:30 pm till march 3rd and will collect it from Salesforce Transit Center.",different,0.9999,13,3,1,0,1.25,corrupted,,
i want the room for one day only starting next wed.,I want the room for one day only starting next Tuesday,some_details_lost,0.9998,13,1,3,0,1.75,corrupted,,
Huskies Vs Cougars is taking place at Husky Stadium at 8 pm on March 5th.,Huskies Vs Cougars is taking place at Husky Stadium on March 5th.,some_details_lost,0.9882,3,0,3,0,2,lost,,
Please confirm 1 Economy ticket on a bus that leaves from Long Beach to Sacramento on March 10th at 7 am.,1 Economy ticket on a bus that goes from Long Beach to Sacramento on march 10 at 7 am.,some_details_lost,0.9865,12,1,2,0,1.666666667,ok,verb,imperative
Where do you want to leave from and when do you want to leave?,Where do you want to leave?,some_details_lost,0.9964,12,1,2,0,1.666666667,lost,,
Please confirm these details: You want a Luxury ride for 1 seat to Castles N' Coasters.,you want a luxury ride for 1 seat to castles n' coasters,some_details_lost,0.9771,3,0,3,0,2,ok,,imperative
