INPUT:text_first,INPUT:text_second,OUTPUT:result,CONFIDENCE:result,vote_type,vote_different,vote_some_details_lost,vote_OK,average
"4th of March, 4 people going.","On the fourth of March, there will be four people attending.",OK,0.9864,12,0,1,2,2.666666667
I will leave from SFO and want to get back on 7th of March.,I'm going to get back from SFO on 7th of march!,OK,0.9999,12,1,0,2,2.333333333
From Vancouver on Monday next week.,"On Monday next week, I will be in Vancouver.",some_details_lost,0.9999,12,0,2,1,2.333333333
"I want to continue looking, how about movies directed by Brian De Palma?",i want to keep looking how about movies directed by brenny de palma?,some_details_lost,0.9999,12,0,2,1,2.333333333
"Hi, I need a help, i am interested to some things to do, Could you find some Games events for me?, i really like Baseball events.","hi i need some help, can you find some games for me?",some_details_lost,0.9929,12,0,2,1,2.333333333
What do you think about Bay Area House Call Physicians which is actually found in Palo Alto and also is a General Practitioner.,What do you think about Bay Area House Call Physicians?,some_details_lost,0.9999,3,0,3,0,2
Anything else I can help u with?,What else can I help you with?,OK,0.9973,3,0,0,3,3
I will pick up the car from San Jose and I need the car from next Wednesday till next Thursday.,i'll pick up the car from san joe and i need it from next week till next Thursday,some_details_lost,0.9999,12,1,2,0,1.666666667
I'd like to leave on the 6th of this month at about morning 8.,I would like to leave on the 6th of this month at about 8:00am.,OK,0.995,3,0,0,3,3
Can you find some hotels around Washington?,can u find some hotels around wa.,OK,0.9999,3,0,0,3,3
Where will you be on the 1st.,Where will you be on the first place?,OK,0.9999,13,1,0,3,2.5
I'll be going from Los Angeles to Paris and I want to return on March 11th.,i'm going from los angeles to paris and i want to come back on march 11.,OK,1,3,0,0,3,3
You want a Pool ride with Go Vegan for 2 people. Is that correct?,You would like to go on a pool ride with Go Vegan for two people. Is this correct?,OK,1,13,0,1,3,2.75
I'll be picking up in LA at 10:30 in the morning and will need it until the 11th of March.,I will be picking up in Los Angeles on the 11th of March.,different,0.9985,14,1,4,0,1.8
Shall I get you anything else?,Should I get you something else?,OK,0.9999,12,1,0,2,2.333333333
"The day after tomorrow until next Tuesday, picking up around afternoon 3.",the day after tomorrow until next tue.,some_details_lost,0.9999,12,1,2,0,1.666666667
Nothing.,It is nothing.,OK,0.9999,12,0,1,2,2.666666667
Reservation has been successful.,Reservation has worked out.,OK,0.9999,3,0,0,3,3
"Yes, I need to search it in Sydney, NSW.","Yes, I need to search for it in Sydney, New Zealand.",OK,0.995,14,0,1,4,2.8
"I would like to take an Economy flight to Mexico City, leaving on the 13th of this month.",i wanna take an economy flight to mexico city on the 13th of this month.,OK,1,3,0,0,3,3
Can I assist you with something else,Can I help you with something else?,OK,1,3,0,0,3,3
"Sure, please confirm you'd like 4 economy extra tickets for the bus from Seattle to Portland leaving March 13th at 6:30 am.",yes u want 4 economy extra tickets for the bus from washington to Portland march 13 at 6:30,different,0.9999,4,0,4,0,2
"Your rental car has been booked, and it will be costing you a total of$52.","Your rental car has been booked, and it will cost you a total of five dollars.",different,0.9999,3,0,3,0,2
Yes is correct,yea its right.,OK,0.9999,13,1,0,3,2.5
Any other help you need?,Do you need any other assistance?,OK,0.9999,3,0,0,3,3
Can you tell me this place is child-friendly?,can u tell me this place is kid friendly?,OK,0.9827,3,0,0,3,3
Sounds amazing.,Sounds like a great song.,OK,0.9999,3,0,0,3,3
"Yes, this one works","Yes, this one is effective.",OK,0.9999,3,0,0,3,3
"No, that would be it","No, that is it.",OK,0.9999,12,0,1,2,2.666666667
What about a Tourist Attraction like the one at Brandon lee and Bruce Lee's Grave site which is the nice one from the 10 results I found.,What about a tourist attraction like the one at Brandon Lee's Grave?,some_details_lost,0.9613,3,0,3,0,2
You have a restaurant reservation for 6 at Bangkok Garden at 11:30 am.,u have a restaurant reservation for 6 at tha gurl garden at 11:30,different,0.9999,13,1,3,0,1.75
"Sure. Please confirm that you would like tickets to the Delta Airlines flight leaving London towards San Francisco next Wednesday at 8 am, returning March 13th at 10:55 am for 1 passenger in Economy!","Yes, yes. Please confirm that you would like tickets to the Delta Airlines flight leaving London for San Francisco on March 13th at 10:55 AM.",some_details_lost,0.9847,12,1,2,0,1.666666667
I'm looking for a blues venue in NY.,I am looking for a blues venue in New York City.,OK,0.9999,3,0,0,3,3
With United Airlines you want 3 Economy tickets from Chicago to Philadelphia.Departure will be on March 2nd at 3:15 pm and return will be in March 7th at 11:30 am.Is that correct?,"u want 3 economy tickets from chicago to philippine, march 2nd at 3:15 pm or something like that?",different,0.9999,13,1,3,0,1.75
How about the AC hotel by marriott chicago downtown? It has a 4.3 rating,How about the AC hotel by Martint Chicago Downtown? It has a rating of 4.3.,different,0.9525,3,0,3,0,2
Nope. I need it from the 4th till the 10th of March.,"No, that is not the case. I need it from the fourth to the tenth of March.",OK,0.9879,3,0,0,3,3
"Yeah, that works. I want to book two rooms with a check in in on the 6th of March and a check out on the 10th of March.","Yes, that is effective. I want to book two rooms with a check in on the 6th of March.",some_details_lost,0.9997,3,0,3,0,2
I would like the room for 1 days. The date I want to check in is next Wednesday and I would like to book a room at HoTel Parister.,i want the room for 1 days. i wanna check in next wednesday and i want to book a room at hotel parister,OK,0.9951,3,0,0,3,3
Revel.,Revel is the best.,different,0.9662,13,1,3,0,1.75
"What type of events, such as music or sports events, would you like? At which location should the event be held?","what kind of things, like music or sports. where should it be?",some_details_lost,0.9999,3,0,3,0,2
1 hotel brooklyn bridge March 8th for 2 days in new york for 1 room.,The only hotel in New York is Brooklyn Bridge on March 8th for two days.,different,0.9978,13,1,3,0,1.75
Which movie would you like? When do you want to watch the movie? In which city?,Which movie would you enjoy? When would you like to watch the movie? Which city is it?,OK,0.9999,12,0,1,2,2.666666667
"Yes, proceed. Also check about the year in which this song was released whether it is from one years ago? and what is the type of this song?","yea, go for it. And check out the year in which this song came out. and what kind of song is it?",some_details_lost,0.9621,3,0,3,0,2
You're booked. It's 5.0 stars.,You have been booked. It is five stars.,OK,0.9999,3,0,0,3,3
