text1,text2,human,chrf,bleu,rouge1,rouge2,rouge3,rougeL,Elron/bleurt-large-512,bertscore/roberta-large,bertscore/bert-base-multilingual-cased,bertscore/microsoft/deberta-xlarge-mnli,fasttext_cossim,w2v_cossim
"4th of March, 4 people going.","On the fourth of March, there will be four people attending.",2.666666667,0.4534397411918769,0.3491329799666463,0.3529411764705882,0.1333333333333333,0.0,0.3529411764705882,0.3751683533191681,0.9384168386459352,0.8263293504714966,0.8316411375999451,0.756650447845459,0.7264420986175537
I will leave from SFO and want to get back on 7th of March.,I'm going to get back from SFO on 7th of march!,2.333333333,0.4289823041465023,0.5465683258213582,0.7692307692307692,0.4999999999999999,0.2727272727272727,0.6153846153846153,0.3181863129138946,0.94772607088089,0.8630491495132446,0.8511945605278015,0.978752851486206,0.871557354927063
From Vancouver on Monday next week.,"On Monday next week, I will be in Vancouver.",2.333333333,0.6138397473630156,0.5962708267663738,0.6666666666666667,0.4615384615384615,0.3636363636363636,0.5333333333333333,0.1455268114805221,0.9371517896652222,0.8165971636772156,0.80416339635849,0.8181226253509521,0.9013411998748779
"I want to continue looking, how about movies directed by Brian De Palma?",i want to keep looking how about movies directed by brenny de palma?,2.333333333,0.5549113371349055,0.6763290057482773,0.8461538461538461,0.6666666666666666,0.4545454545454545,0.8461538461538461,0.3782835304737091,0.9287490844726562,0.8250809907913208,0.9156731963157654,0.9268298149108888,0.8991926312446594
"Hi, I need a help, i am interested to some things to do, Could you find some Games events for me?, i really like Baseball events.","hi i need some help, can you find some games for me?",2.333333333,0.2359318911077007,0.1799913400144548,0.5789473684210527,0.3333333333333333,0.1764705882352941,0.5263157894736842,-0.2427771836519241,0.9271316528320312,0.8222421407699585,0.814345121383667,0.8895862698554993,0.8525148630142212
What do you think about Bay Area House Call Physicians which is actually found in Palo Alto and also is a General Practitioner.,What do you think about Bay Area House Call Physicians?,2.0,0.4648501734403983,0.2650152792216254,0.6060606060606061,0.5806451612903226,0.5517241379310345,0.6060606060606061,-0.0801636129617691,0.9238433241844176,0.837004542350769,0.7798963189125061,0.8333919048309326,0.8669206500053406
Anything else I can help u with?,What else can I help you with?,3.0,0.3731695099474321,0.6129018406447124,0.7142857142857143,0.0,0.0,0.5714285714285714,0.7110676765441895,0.9503194093704224,0.8538254499435425,0.8989850878715515,0.94873309135437,0.8889042139053345
I will pick up the car from San Jose and I need the car from next Wednesday till next Thursday.,i'll pick up the car from san joe and i need it from next week till next Thursday,1.666666667,0.5329162126596514,0.648966428118264,0.7692307692307692,0.5405405405405405,0.3428571428571428,0.7692307692307692,0.6470136642456055,0.9525113701820374,0.8505988121032715,0.851129412651062,0.8846818804740906,0.8606045246124268
I'd like to leave on the 6th of this month at about morning 8.,I would like to leave on the 6th of this month at about 8:00am.,3.0,0.7718763318874493,0.8153065860612343,0.8666666666666667,0.7142857142857143,0.6923076923076923,0.8666666666666667,0.7614761590957642,0.9559288024902344,0.9164350628852844,0.9024197459220886,0.9924786686897278,0.95750492811203
Can you find some hotels around Washington?,can u find some hotels around wa.,3.0,0.5564888473717933,0.6129105695349214,0.7142857142857143,0.5,0.4000000000000001,0.7142857142857143,0.6060466170310974,0.9370938539505004,0.8123239278793335,0.9109901189804076,0.7086536288261414,0.8043644428253174
